epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.85827,3.00726,5.86393,3.90575,2.19884,0.0105,0.13889,0.01396,0.00369,0.00358,0.02778,0.00208,0.00021,2.61665,5.32314,4.08932,2.07002,0,0,0
2,3.83045,2.53958,5.8807,3.83278,2.15912,0.01046,0.13889,0.01403,0.0037,0.00355,0.02778,0.00206,0.00041,2.59009,5.25522,4.10348,2.06182,1.23763e-05,1.23763e-05,1.23763e-05
3,6.27197,2.95339,5.88426,3.89336,2.23031,0.01049,0.13889,0.01333,0.00328,0.00355,0.02778,0.00214,0.00043,2.58861,5.18355,4.09564,2.07317,2.4505e-05,2.4505e-05,2.4505e-05
4,8.52007,3.01767,5.69354,3.95354,2.19088,0.0106,0.13889,0.01139,0.0027,0.00358,0.02778,0.0022,0.00022,2.59042,5.08028,4.08408,2.09876,3.63862e-05,3.63862e-05,3.63862e-05
5,10.5973,2.55694,5.69375,3.84911,2.13418,0.0106,0.13889,0.01139,0.0027,0.00358,0.02778,0.0022,0.00022,2.59042,5.08028,4.08408,2.09876,4.802e-05,4.802e-05,4.802e-05
6,12.7702,2.65246,5.70804,3.91303,2.08159,0.01092,0.13889,0.01233,0.00344,0.0037,0.02778,0.00224,0.00086,2.61135,4.96211,4.0762,2.12837,5.94062e-05,5.94062e-05,5.94062e-05
7,14.4657,2.4381,5.48242,3.78594,2.14968,0.01092,0.13889,0.01233,0.00344,0.0037,0.02778,0.00224,0.00086,2.61135,4.96211,4.0762,2.12837,7.0545e-05,7.0545e-05,7.0545e-05
8,16.1494,2.47887,5.45978,3.86998,2.14098,0.01053,0.13889,0.01496,0.00552,0.00355,0.02778,0.00228,0.00113,2.59758,4.93691,4.06951,2.16517,8.14362e-05,8.14362e-05,8.14362e-05
9,17.6962,2.34724,5.65753,3.76699,2.08974,0.01053,0.13889,0.01496,0.00552,0.00355,0.02778,0.00228,0.00113,2.59758,4.93691,4.06951,2.16517,9.208e-05,9.208e-05,9.208e-05
10,19.488,2.31466,5.70055,3.81373,2.05988,0.01073,0.13889,0.02477,0.00922,0.00366,0.02778,0.01112,0.00778,2.55075,4.96763,4.1024,2.11793,0.000102476,0.000102476,0.000102476
11,21.1332,2.49996,5.18804,3.75384,2.17725,0.01073,0.13889,0.02477,0.00922,0.00366,0.02778,0.01112,0.00778,2.55075,4.96763,4.1024,2.11793,0.000112625,0.000112625,0.000112625
12,23.3209,2.5319,5.24459,3.82731,2.06336,0.01073,0.13889,0.02477,0.00922,0.00366,0.02778,0.01112,0.00778,2.55075,4.96763,4.1024,2.11793,0.000122526,0.000122526,0.000122526
13,25.5183,2.52676,5.26968,3.86595,2.00336,0.01068,0.13889,0.04702,0.02267,0.00355,0.02778,0.02995,0.02097,2.63284,5.08083,4.08049,2.16297,0.00013218,0.00013218,0.00013218
14,27.3032,2.42704,5.26612,3.79478,2.13008,0.01068,0.13889,0.04702,0.02267,0.00355,0.02778,0.02995,0.02097,2.63284,5.08083,4.08049,2.16297,0.000141586,0.000141586,0.000141586
15,29.6168,2.63639,5.10547,3.85594,2.17792,0.01068,0.13889,0.04702,0.02267,0.00355,0.02778,0.02995,0.02097,2.63284,5.08083,4.08049,2.16297,0.000150745,0.000150745,0.000150745
16,31.486,2.41522,5.11539,3.74822,2.07447,0.00758,0.11111,0.05193,0.02378,0.00388,0.02778,0.0301,0.02107,2.59318,5.20443,4.05531,2.15915,0.000159656,0.000159656,0.000159656
17,33.541,2.4409,4.99586,3.8682,1.98708,0.00758,0.11111,0.05193,0.02378,0.00388,0.02778,0.0301,0.02107,2.59318,5.20443,4.05531,2.15915,0.00016832,0.00016832,0.00016832
18,35.3353,2.24458,4.84984,3.81076,1.95303,0.00758,0.11111,0.05193,0.02378,0.00388,0.02778,0.0301,0.02107,2.59318,5.20443,4.05531,2.15915,0.000176736,0.000176736,0.000176736
19,37.8772,2.61863,4.95537,3.8667,2.09162,0.00758,0.11111,0.05193,0.02378,0.00388,0.02778,0.0301,0.02107,2.59318,5.20443,4.05531,2.15915,0.000184905,0.000184905,0.000184905
20,40.1851,2.37829,4.77264,3.86602,1.98149,0.01139,0.13889,0.05003,0.02236,0.00392,0.02778,0.03012,0.02109,2.53274,5.36199,4.10662,2.13218,0.000192826,0.000192826,0.000192826
21,42.2901,2.50558,4.66234,3.82168,2.06007,0.01139,0.13889,0.05003,0.02236,0.00392,0.02778,0.03012,0.02109,2.53274,5.36199,4.10662,2.13218,0.0002005,0.0002005,0.0002005
22,44.6445,2.77758,4.8699,3.86857,2.01599,0.01139,0.13889,0.05003,0.02236,0.00392,0.02778,0.03012,0.02109,2.53274,5.36199,4.10662,2.13218,0.000207926,0.000207926,0.000207926
23,46.6009,2.43447,4.73834,3.77762,1.93291,0.01139,0.13889,0.05003,0.02236,0.00392,0.02778,0.03012,0.02109,2.53274,5.36199,4.10662,2.13218,0.000215105,0.000215105,0.000215105
24,48.39,2.33906,5.04692,3.78939,2.03078,0.00706,0.11111,0.015,0.00333,0.00362,0.02778,0.02999,0.009,2.55883,5.35574,4.16317,2.13854,0.000222036,0.000222036,0.000222036
25,50.2297,2.10816,4.70279,3.67621,1.83587,0.00706,0.11111,0.015,0.00333,0.00362,0.02778,0.02999,0.009,2.55883,5.35574,4.16317,2.13854,0.00022872,0.00022872,0.00022872
26,51.7598,2.48401,4.63325,3.67464,2.13599,0.00706,0.11111,0.015,0.00333,0.00362,0.02778,0.02999,0.009,2.55883,5.35574,4.16317,2.13854,0.000235156,0.000235156,0.000235156
27,53.5246,2.19704,4.66444,3.6952,1.8549,0.00706,0.11111,0.015,0.00333,0.00362,0.02778,0.02999,0.009,2.55883,5.35574,4.16317,2.13854,0.000241345,0.000241345,0.000241345
28,55.4049,2.18138,4.4989,3.74159,1.78564,0.00706,0.11111,0.015,0.00333,0.00362,0.02778,0.02999,0.009,2.55883,5.35574,4.16317,2.13854,0.000247286,0.000247286,0.000247286
29,56.8377,2.51608,4.78225,3.72086,2.16539,0.00366,0.08333,0.00593,0.0012,0,0,0,0,2.72249,5.37389,4.11539,2.2531,0.00025298,0.00025298,0.00025298
30,58.7497,2.10856,4.50358,3.64919,1.73656,0.00366,0.08333,0.00593,0.0012,0,0,0,0,2.72249,5.37389,4.11539,2.2531,0.000258426,0.000258426,0.000258426
31,60.8283,2.1205,4.60436,3.77464,1.77258,0.00366,0.08333,0.00593,0.0012,0,0,0,0,2.72249,5.37389,4.11539,2.2531,0.000263625,0.000263625,0.000263625
32,62.6409,2.15364,4.64711,3.72984,1.7706,0.00366,0.08333,0.00593,0.0012,0,0,0,0,2.72249,5.37389,4.11539,2.2531,0.000268576,0.000268576,0.000268576
33,64.1075,2.03686,4.62513,3.61293,1.85131,0.00366,0.08333,0.00593,0.0012,0,0,0,0,2.72249,5.37389,4.11539,2.2531,0.00027328,0.00027328,0.00027328
34,66.0264,2.18994,4.63433,3.65497,1.84302,0.00366,0.08333,0.00593,0.0012,0,0,0,0,2.72249,5.37389,4.11539,2.2531,0.000277736,0.000277736,0.000277736
35,67.8875,2.11564,4.58338,3.66666,1.78711,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.000281945,0.000281945,0.000281945
36,69.5017,2.1832,4.23769,3.5765,1.82681,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.000285906,0.000285906,0.000285906
37,71.6521,2.07822,4.60526,3.68913,1.70438,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.00028962,0.00028962,0.00028962
38,73.181,1.75803,4.56861,3.53356,1.62634,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.000293086,0.000293086,0.000293086
39,74.627,2.01032,4.46679,3.66599,1.86073,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.000296305,0.000296305,0.000296305
40,76.3591,2.03334,4.4418,3.68348,1.77133,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.000299276,0.000299276,0.000299276
41,77.9274,2.07288,4.43927,3.53835,1.87328,0.00351,0.08333,0.00235,0.00047,0,0,0,0,2.61258,5.39783,4.17075,2.20024,0.000302,0.000302,0.000302
42,79.8281,2.10134,4.50119,3.66063,1.74457,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.000304476,0.000304476,0.000304476
43,81.3449,2.19371,4.56228,3.58213,1.93652,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.000306705,0.000306705,0.000306705
44,83.4047,2.15482,4.61645,3.62146,1.72976,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.000308686,0.000308686,0.000308686
45,85.0191,1.99733,4.239,3.58774,1.74416,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.00031042,0.00031042,0.00031042
46,87.3961,2.2896,4.69799,3.69059,1.81075,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.000311906,0.000311906,0.000311906
47,89.2647,2.03281,4.45023,3.62355,1.71681,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.000313145,0.000313145,0.000313145
48,90.7885,2.12299,4.38697,3.59354,1.90823,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.000314136,0.000314136,0.000314136
49,92.3135,1.83722,4.3633,3.60494,1.68772,0.00351,0.08333,0.0025,0.00025,0,0,0,0,2.58173,5.39106,4.1413,2.21865,0.00031488,0.00031488,0.00031488
50,94.1812,1.97873,4.28514,3.56753,1.72334,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000315376,0.000315376,0.000315376
51,95.833,1.97427,4.34997,3.52882,1.68355,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000315625,0.000315625,0.000315625
52,97.3702,1.82784,4.27716,3.51282,1.66049,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000315626,0.000315626,0.000315626
53,99.6521,1.86772,4.16731,3.52314,1.59338,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.00031538,0.00031538,0.00031538
54,101.61,1.92032,4.27756,3.51334,1.61883,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000314886,0.000314886,0.000314886
55,104.016,2.18965,4.42338,3.68489,1.73582,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000314145,0.000314145,0.000314145
56,106.632,2.02555,4.42787,3.61566,1.65941,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000313156,0.000313156,0.000313156
57,108.22,1.91301,4.29384,3.44558,1.71563,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.00031192,0.00031192,0.00031192
58,109.696,1.73527,4.23954,3.43572,1.58809,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000310436,0.000310436,0.000310436
59,111.681,2.05915,4.37754,3.60439,1.71013,0.00351,0.08333,0.00425,0.00043,0,0,0,0,2.6371,5.36864,4.11371,2.22971,0.000308705,0.000308705,0.000308705
